DIA_EMISSAO,TIPO_EMISSAO,NOM_SIGLA_UF_EMIT,DSC_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,DSC_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
2023-07-04T00:00:00.000Z,INTERNA,CE,CEARA,CE,CEARA,NE,Nordeste,NE,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,29394,6.847917798000002E7
2023-07-25T00:00:00.000Z,ENTRADA,GO,GOIAS,CE,CEARA,CO,Centro-Oeste,NE,Nordeste,,,32,83873.06
2023-07-10T00:00:00.000Z,SAIDA,CE,CEARA,PI,PIAUI,NE,Nordeste,NE,Nordeste,INDUSTRIA,,649,8242078.32
2023-07-10T00:00:00.000Z,SAIDA,CE,CEARA,BA,BAHIA,NE,Nordeste,NE,Nordeste,ENERGIA ELETRICA,,111,64744.10999999998
2023-07-27T00:00:00.000Z,SAIDA,CE,CEARA,AL,ALAGOAS,NE,Nordeste,NE,Nordeste,INDUSTRIA,,389,3674097.130000001
2023-07-18T00:00:00.000Z,ENTRADA,SC,SANTA CATARINA,CE,CEARA,S,Sul,NE,Nordeste,,,90,1191842.7400000002
2023-07-13T00:00:00.000Z,SAIDA,CE,CEARA,PI,PIAUI,NE,Nordeste,NE,Nordeste,INDUSTRIA,,705,8308896.739999998
2023-07-18T00:00:00.000Z,ENTRADA,SC,SANTA CATARINA,CE,CEARA,S,Sul,NE,Nordeste,,COMERCIO ATACADISTA,276,1.24047366E7
2023-07-25T00:00:00.000Z,SAIDA,CE,CEARA,RN,RIO GRANDE DO NORTE,NE,Nordeste,NE,Nordeste,COMBUSTIVEL,,38,1109163.5400000003
2023-07-17T00:00:00.000Z,INTERNA,CE,CEARA,CE,CEARA,NE,Nordeste,NE,Nordeste,COMBUSTIVEL,INDUSTRIA,149,3969496.2200000007
2023-07-21T00:00:00.000Z,ENTRADA,BA,BAHIA,CE,CEARA,NE,Nordeste,NE,Nordeste,COMERCIO ATACADISTA,,7,22347.600000000002
