NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,COMERCIO ATACADISTA,,1390,1.3874471732339457E7
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,28,640032.8883066177
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,COMERCIO ATACADISTA,,1076,2.266901951306343E7
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,,ENERGIA ELETRICA,1356,6.8696800099886E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,740638,1.9124965260536313E9
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,PRODUTOR AGROPECUARIO,,144,1.0273600587890625E7
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,4268,9.044170198231277E7
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,INDUSTRIA,1481,2.2354591725442076E8
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,,15061,6.488841720139862E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMBUSTIVEL,677,9149899.001441956
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,3412,6.801630195647621E7
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,,COMERCIO VAREJISTA,7912,8.135177070140713E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMERCIO ATACADISTA,3362,5.120940518147676E7
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,33,1673977.1423950195
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,,2561,2.3462312932068378E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,OUTROS SEGMENTOS,1320,1417806.5798282623
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,INDUSTRIA,,5505,9.602766886132836E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,322,4807553.415878296
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,4522,8.446517004103836E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,INDUSTRIA,3340,1.2497120492982006E8
CE,MT,CEARA,MATO GROSSO,NE,CO,Nordeste,Centro-Oeste,INDUSTRIA,,4891,9.814248293976626E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,3759,9030620.050193481
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO VAREJISTA,4023,2.583675234174013E7
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,,677,1.1439845176352805E8
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,,20,683146.2244873047
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,ENERGIA ELETRICA,29,3776063.1660690308
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE TRANSPORTE,96,468403.1459226608
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,3456,3.498123969700281E7
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,3133,9.904902484875587E7
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,,865,2780920.401866138
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,OUTROS SEGMENTOS,27,303547.938873291
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,266,2983001.181640625
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,PRODUTOR AGROPECUARIO,,31,1713354.80078125
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,80,5227.200008392334
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,PRODUTOR AGROPECUARIO,2,3704.1700439453125
CE,AC,CEARA,ACRE,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,,99,874876.4538269043
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,116,304774.0707092285
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,,487,1.0627366824394321E8
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,PRODUTOR AGROPECUARIO,COMERCIO ATACADISTA,9,471139.5625
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,ENERGIA ELETRICA,817,2.581484525499916E7
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,CONSTRUCAO CIVIL,32,273210.4323120117
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,298,3538824.272898674
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,25,150827.1697998047
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,71,195232.45958709717
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,100,470190.2501296997
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,INDUSTRIA,INDUSTRIA,172,5505056.026094437
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,5,5503.340057373047
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,INDUSTRIA,42,4524047.57232666
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,OUTROS SEGMENTOS,INDUSTRIA,1,103.95999908447266
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,22,47647.87995147705
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,70,461326.93072509766
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,,37,803592.4100952148
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,4,594035.0531249046
